Sample	Group
ERR9794650	2078
ERR9794652	2079
ERR9794653	2079
ERR9794654	2079
ERR9794655	2079
ERR9794656	2079
ERR9794657	2080
ERR9794658	2080
ERR9794659	2080
ERR9794660	2081
ERR9794661	2081
ERR9794662	2081
ERR9794663	2081
ERR10370896	2082
ERR10370897	2082
ERR10370898	2082
ERR10370899	2083
ERR10370900	2083
ERR10370901	2083
ERR10370902	2084
ERR10370903	2084
ERR10370904	2084
ERR10370905	2085
ERR10370906	2085
ERR10370907	2085
ERR10370908	2086
ERR10370909	2086
ERR10370910	2086
ERR10370911	2087
ERR10370912	2087
ERR10370913	2087
ERR10469464	2088
ERR10469465	2089
ERR10469466	2090
ERR10469467	2089
ERR10469468	2091
ERR10469469	2090
ERR10469470	2092
ERR10469471	2089
ERR10469472	2091
ERR10469473	2090
ERR10469474	2092
ERR10469475	2091
SRR13627324	2093
SRR13627325	2093
SRR13627326	2093
SRR13627327	2094
SRR13627328	2094
SRR13627329	2094
SRR13642772	505
SRR13642773	505
SRR13642774	505
SRR13642775	506
SRR13642776	506
SRR13642777	506
SRR13642778	507
SRR13642779	507
SRR13642780	507
SRR13642781	508
SRR13642782	508
SRR13642783	508
SRR13642784	509
SRR13642785	509
SRR13642786	509
SRR13642787	510
SRR13642788	510
SRR13642789	510
SRR13642790	511
SRR13642791	511
SRR13642792	511
SRR13642793	512
SRR13642794	512
SRR13642795	512
SRR13642796	513
SRR13642797	513
SRR13642798	513
SRR13673711	514
SRR13673712	514
SRR13673713	514
SRR13673714	515
SRR13673715	515
SRR13673716	515
SRR13673717	516
SRR13673718	516
SRR13673719	516
SRR13673720	517
SRR13673721	517
SRR13673722	517
SRR13673723	518
SRR13673724	518
SRR13673725	518
SRR13673726	519
SRR13673727	519
SRR13673728	519
SRR13673729	520
SRR13673730	520
SRR13673731	520
SRR13673732	521
SRR13673733	521
SRR13673734	521
SRR13678082	523
SRR13678083	523
SRR13678084	523
SRR13678085	524
SRR13678086	524
SRR13678087	524
SRR13678088	525
SRR13678089	525
SRR13678090	525
SRR13678091	526
SRR13678092	526
SRR13678093	526
SRR13678094	527
SRR13678095	527
SRR13678096	527
SRR13678097	528
SRR13678098	528
SRR13678099	528
SRR13678100	529
SRR13678101	529
SRR13678102	529
SRR13678103	530
SRR13678104	530
SRR13678105	530
SRR13678106	531
SRR13678107	531
SRR13678108	531
SRR13687743	532
SRR13687744	532
SRR13687745	532
SRR13687746	533
SRR13687747	533
SRR13687748	533
SRR13687749	534
SRR13687750	534
SRR13687751	534
SRR13687752	535
SRR13687753	535
SRR13687754	535
SRR13687755	536
SRR13687756	536
SRR13687757	536
SRR13687758	537
SRR13687759	537
SRR13687760	537
SRR13687761	538
SRR13687762	538
SRR13687763	538
SRR13687764	539
SRR13687765	539
SRR13687766	539
SRR13687767	540
SRR13687768	540
SRR13687769	540
SRR13696770	541
SRR13696771	542
SRR13696772	542
SRR13696773	542
SRR13696774	543
SRR13696775	543
SRR13696776	543
