Sample	Group
SRR23270448	5126
SRR23270447	5126
SRR23270446	5125
SRR23270445	5125
SRR23270444	5125
SRR23270443	5124
SRR23270442	5124
SRR23270441	5124
SRR23270440	5123
SRR23270439	5123
SRR23270438	5123
SRR23270434	5121
SRR23270433	5121
SRR23270432	5121
SRR23306198	5120
SRR23306197	5120
SRR23306196	5120
SRR23689521	5119
SRR23689520	5119
SRR23689519	5118
SRR23689518	5118
SRR24079566	446
SRR24079565	446
SRR24079564	447
SRR24079563	447
SRR24079562	448
SRR24079561	448
SRR24079560	449
SRR24079559	449
SRR24079558	450
SRR24079557	450
SRR24079556	451
SRR24079555	451
SRR24079554	452
SRR24079553	452
SRR24079552	453
SRR24079551	453
SRR24079550	454
SRR24079549	454
SRR24079548	455
SRR24079547	455
SRR24079546	456
SRR24079545	456
SRR24079544	457
SRR24079543	457
SRR24079542	458
SRR24079541	458
SRR24079540	459
SRR24079539	459
SRR24079538	460
SRR24079537	460
SRR24079536	461
SRR24079535	461
SRR24136672	5117
SRR24136671	5117
SRR24136670	5117
SRR24136669	5116
SRR24136668	5116
SRR24136667	5116
SRR24136666	5115
SRR24136665	5115
SRR24136664	5115
SRR24136663	5114
SRR24136662	5114
SRR24136661	5114
SRR24136660	5113
SRR24136659	5113
SRR24136658	5112
SRR24136657	5112
SRR24136656	5112
SRR24163404	5111
SRR24163403	5111
SRR24163402	5111
SRR24163401	5110
SRR24163400	5110
SRR24163399	5110
SRR24208454	5109
SRR24208453	5109
SRR24208452	5106
SRR24208451	5106
SRR24208450	5109
SRR24208449	5108
SRR24208448	5108
SRR24208447	5108
SRR24208446	5107
SRR24208445	5107
SRR24208444	5107
SRR24208443	5106
SRR24442392	5105
SRR24442391	5104
SRR24442390	5103
SRR24442389	5102
SRR24442387	5100
SRR24442385	5098
SRR24634931	5097
SRR24634930	5097
SRR24634929	5096
SRR24634928	5096
SRR24634927	5095
SRR24634926	5095
SRR24634925	5094
SRR24634924	5094
SRR24634923	5093
SRR24634922	5093
SRR24634921	5092
SRR24634920	5092
SRR24759677	5091
SRR24759676	5091
SRR24759675	5091
SRR24759674	5091
SRR24759673	5091
SRR24759672	5091
SRR24823338	5090
SRR24823340	5089
SRR24823443	5088
SRR24823480	5087
SRR24974586	5086
SRR24974585	5086
SRR24974584	5086
SRR24974583	5086
SRR24974582	5085
SRR24974581	5085
SRR24974580	5085
SRR24974579	5085
SRR24974578	5084
SRR24974577	5084
SRR24974576	5084
SRR24974575	5084
SRR24974574	5083
SRR24974573	5083
SRR24974572	5083
SRR24974571	5083
SRR25345062	5082
SRR25345061	5082
SRR25345060	5082
SRR25345059	5081
SRR25345058	5081
SRR25345057	5081
SRR25345056	5080
SRR25345055	5080
SRR25345054	5080
SRR25411074	5079
SRR25411073	5078
SRR25411072	5077
SRR25411071	5076
SRR638895	1073
SRR25627960	5075
SRR25627959	5075
SRR25627958	5075
SRR25627957	5074
SRR25627956	5074
SRR25627955	5074
SRR25663120	5073
SRR25663119	5073
SRR25663118	5072
SRR25663117	5072
SRR25663116	5071
SRR25663115	5071
SRR25663114	5070
SRR25663113	5070
SRR25663112	5069
SRR25663111	5069
SRR25663110	5068
SRR25663109	5068
SRR25663108	5067
SRR25663107	5067
SRR25663106	5066
SRR25663105	5066
SRR25787977	5065
SRR25787976	5064
SRR25787975	5063
SRR25787974	5062
SRR25787973	5061
SRR25792494	5059
SRR25792493	5058
SRR25792492	5057
SRR26142264	5056
SRR26142263	5056
SRR26142262	5053
SRR26142261	5053
SRR26142260	5056
SRR26142259	5055
SRR26142258	5055
SRR26142257	5055
SRR26142256	5054
SRR26142255	5054
SRR26142254	5054
SRR26142253	5053
SRR26200211	5052
SRR26200210	5052
SRR26200209	5049
SRR26200208	5055
SRR26200207	5055
SRR26200206	5055
SRR26200205	5054
SRR26200204	5054
SRR26200203	5054
SRR26200202	5053
SRR26200201	5053
SRR26200200	5053
SRR26200199	5052
SRR26200198	5051
SRR26200197	5051
SRR26200196	5051
SRR26200195	5050
SRR26200194	5050
SRR26200193	5049
SRR26200192	5049
SRR26203403	5048
SRR26203402	5048
SRR26203401	5048
SRR26203400	5048
SRR26203399	5047
SRR26203398	5047
SRR26203397	5047
SRR26203396	5047
SRR26203395	5046
SRR26203394	5046
SRR26203393	5046
SRR26203392	5046
SRR26203391	5045
SRR26203389	5045
SRR26203388	5045
SRR26203387	5044
SRR26203386	5044
SRR26203385	5044
SRR26203383	5043
SRR26203382	5043
SRR26203381	5043
SRR26203380	5043
SRR26203379	5042
SRR26203378	5042
SRR26203377	5042
SRR26203376	5042
SRR26203375	5041
SRR26203374	5041
SRR26203373	5041
SRR26203372	5041
SRR26203371	5040
SRR26203370	5040
SRR26203369	5040
SRR26203368	5040
SRR26203367	5039
SRR26203366	5039
SRR26203365	5039
SRR26203361	5038
SRR26203360	5038
SRR26225371	5037
SRR26225372	5037
SRR26225373	5036
SRR26225374	5036
SRR26328579	5032
SRR26328576	5034
SRR26328575	5033
SRR26328574	5033
SRR26328573	5033
SRR26328572	5032
SRR26328571	5032
SRR26905522	5031
SRR26905521	5031
SRR26905518	5031
SRR26905517	5030
SRR26905519	5030
SRR26905516	5029
SRR26905520	5029
SRR4447014	5028
SRR4447015	5028
SRR4447016	5027
SRR4447017	5027
SRR4447018	5026
SRR4447019	5026
SRR4447020	5025
SRR4447022	5025
SRR27126455	5024
SRR27297471	5023
SRR27297470	5023
SRR27297469	5023
SRR27297468	5022
SRR27297467	5022
SRR27297466	5022
SRR27299324	5021
SRR27299323	5021
SRR27299321	5018
SRR27299320	5021
SRR27299319	5020
SRR27299318	5020
SRR27299317	5020
SRR27299316	5019
SRR27299315	5019
SRR27299314	5019
SRR27299313	5018
SRR5017556	218
SRR5017558	218
SRR5017559	217
SRR5017560	217
SRR5017561	5017
SRR5017562	5016
SRR27845583	5015
SRR27845582	5015
SRR27845581	5015
SRR27845580	5014
SRR27845579	5014
SRR27845578	5014
SRR27988204	5013
SRR27988205	5013
SRR27988206	5012
SRR27988207	5012
SRR5061507	219
SRR5061509	224
SRR5061510	226
SRR5061511	221
SRR5061512	227
SRR5061513	222
SRR5061514	219
SRR5061515	221
SRR5061516	5011
SRR5061517	220
SRR5061518	221
SRR5061519	220
SRR5061520	229
SRR5061521	229
SRR5061522	5010
SRR5061523	227
SRR5061703	224
SRR5061704	225
SRR5061705	225
SRR5061706	226
SRR5061707	222
SRR5061708	223
SRR5061709	223
SRR5061710	228
SRR5061711	5009
SRR5061712	228
SRR5061713	5009
SRR28638942	5008
SRR28638941	5008
SRR28638940	5008
SRR28638939	5007
SRR28638938	5007
SRR28638937	5007
SRR28903651	5006
SRR28903650	5006
SRR28903649	5006
SRR28903648	5005
SRR28903647	5005
SRR28903646	5005
SRR28905876	5004
SRR28905875	5004
SRR28905874	5004
SRR28905873	5003
SRR28905872	5003
SRR28905871	5003
SRR28960514	5002
SRR28960513	5002
SRR28960512	5002
SRR28960511	5001
SRR28960510	5001
SRR28960509	5001
SRR28961497	5000
SRR28961496	5000
SRR28961495	5000
SRR28973127	4999
SRR28973126	4999
SRR28973125	4999
SRR28973124	4998
SRR28973122	4998
SRR28973121	4998
SRR28973120	4997
SRR28973123	4997
SRR28973119	4997
SRR28973118	4996
SRR28973117	4996
SRR28973116	4996
SRR5155566	4993
SRR5155567	4991
SRR5155568	4994
SRR5155569	4992
SRR5163960	231
SRR5163961	230
SRR5163962	4995
SRR5163963	231
SRR5163964	230
SRR5227450	4994
SRR5227451	4993
SRR5227452	4992
SRR5227453	4991
SRR5227454	4990
SRR799107	4989
SRR799109	4988
SRR799110	4987
SRR799108	4986
SRR5277860	4985
SRR5277861	4985
SRR5277862	4984
SRR5277863	4984
SRR5318363	232
SRR5318364	232
SRR5318365	232
SRR5318366	233
SRR5318367	233
SRR5318368	234
SRR5318369	234
SRR5689224	235
SRR5689225	235
SRR5689226	237
SRR5689227	237
SRR5689228	236
SRR5689229	236
SRR5689230	238
SRR5689231	238
SRR5689232	240
SRR5689233	240
SRR5689234	239
SRR5689235	239
SRR5810174	4983
SRR5810175	4982
SRR5810176	4981
SRR5810177	4980
SRR5810179	4978
SRR5811297	4974
SRR896653	4967
SRR5875881	4964
SRR5875882	2423
SRR5944794	242
SRR5944795	241
SRR5944796	242
SRR5944797	241
SRR5944798	242
SRR5944799	241
SRR6131508	4963
SRR6131509	4963
SRR6131510	4963
SRR6131511	4962
SRR6131512	4962
SRR6131514	4961
SRR6131515	4961
SRR6131516	4961
SRR6131517	4960
SRR6131518	4960
SRR6131519	4959
SRR6131520	4959
SRR6131521	4959
SRR6131523	4958
SRR6131524	4958
SRR6131525	4957
SRR6131526	4957
SRR6131528	4956
SRR6131529	4956
SRR6176440	4955
SRR6176439	4955
SRR6176438	4955
SRR6176437	4952
SRR6176436	4954
SRR6176435	4954
SRR6176434	4953
SRR6176433	4954
SRR6176432	4953
SRR6176431	4953
SRR6176430	4952
SRR6176429	4952
SRR6329094	4951
SRR6329095	4951
SRR6329096	4950
SRR6329097	4950
SRR6329098	4949
SRR6329099	4949
SRR6360039	4948
SRR6360055	4942
SRR974685	4936
SRR6407487	4935
SRR998928	193
SRR998929	193
SRR998930	193
SRR998931	4934
SRR998932	4934
SRR998933	4934
SRR6713303	4933
SRR6713304	4933
SRR6713305	4933
SRR6713306	4932
SRR6713307	4932
SRR6713308	4932
SRR6713309	4931
SRR6713310	4931
SRR6713311	4931
SRR6713312	4930
SRR6713313	4930
SRR6713314	4930
SRR6713315	4929
SRR6713316	4929
SRR6713317	4929
SRR6713318	4928
SRR6713319	4928
SRR6713320	4928
SRR6713321	4927
SRR6713322	4927
SRR6713323	4927
SRR6713324	4926
SRR6713325	4926
SRR6713326	4926
SRR6713327	4926
SRR6713328	4926
SRR6713329	4926
SRR6713330	4925
SRR6713331	4925
SRR6713332	4925
SRR6713333	4924
SRR6713334	4924
SRR6713335	4924
SRR6713336	4923
SRR6713337	4923
SRR6713338	4923
SRR6713339	4922
SRR6713340	4922
SRR6713341	4922
SRR6713342	4921
SRR6713343	4921
SRR6713344	4921
SRR6713345	4920
SRR6713346	4920
SRR6713347	4920
SRR6713348	4919
SRR6713349	4919
SRR6713350	4919
SRR6713351	4919
SRR6713352	4919
SRR6713353	4919
SRR6713356	4918
SRR6713357	4917
SRR6713358	4917
SRR6713359	4917
SRR6713360	4916
SRR6713361	4916
SRR6713364	4915
SRR6713365	4915
SRR6713366	4915
SRR6713367	4914
SRR6713368	4914
SRR6713369	4914
SRR6713370	4913
SRR6713371	4913
SRR6713372	4913
SRR6713373	4909
SRR6713374	4912
SRR6713375	4912
SRR6713376	4912
SRR6713377	4911
SRR6713378	4911
SRR6713379	4911
SRR6713380	4910
SRR6713381	4910
SRR6713382	4910
SRR6713383	4909
SRR6713384	4909
SRR6713385	4908
SRR6713386	4908
SRR6713387	4908
SRR6713388	4907
SRR6713389	4907
SRR6713390	4907
SRR1020650	4906
SRR1020651	4906
SRR1023805	4905
SRR1023806	4905
SRR1023807	4904
SRR1023808	4904
SRR1023809	4903
SRR1023810	4903
SRR1023811	4902
SRR1023812	4902
SRR6787467	272
SRR6787468	272
SRR6787469	273
SRR6787470	273
SRR6787471	274
SRR6787472	274
SRR6787473	275
SRR6787474	275
SRR1033691	4901
SRR1033692	4900
SRR7061289	281
SRR7061288	281
SRR7061287	280
SRR7061286	280
SRR7061285	282
SRR7061284	282
SRR7061283	283
SRR7061282	283
SRR7061281	284
SRR7061280	284
SRR7061279	285
SRR7061278	285
SRR7061277	287
SRR7061276	287
SRR7061275	286
SRR7061274	286
SRR7061273	277
SRR7061272	277
SRR7061271	276
SRR7061270	276
SRR7061269	279
SRR7061268	279
SRR7061267	278
SRR7061266	278
SRR7064995	290
SRR7064996	290
SRR7064997	288
SRR7064998	288
SRR7064999	289
SRR7065000	289
SRR7086711	4898
SRR7086712	4898
SRR7086713	4897
SRR7086714	4897
SRR7086715	4898
SRR7086716	4898
SRR7086717	4897
SRR7086718	4897
SRR7221299	4896
SRR7221300	4896
SRR7221301	4896
SRR7221302	4895
SRR7221303	4895
SRR7221304	4895
SRR7359812	4894
SRR7359813	4894
SRR7359814	4893
SRR7359815	4893
SRR7359816	4892
SRR7359817	4892
SRR7359818	4891
SRR7359819	4891
SRR7359820	4890
SRR7359821	4890
SRR7359822	4889
SRR7359823	4889
SRR7443722	291
SRR7443723	291
SRR7443724	291
SRR7443726	292
SRR7443727	292
SRR7443728	293
SRR7443729	293
SRR7443734	295
SRR7443735	295
SRR7443736	295
SRR7443737	296
SRR7443739	296
SRR7443740	297
SRR7443741	297
SRR7443742	297
SRR7443743	298
SRR7443744	298
SRR7443745	298
SRR7443746	299
SRR7443747	299
SRR7443748	299
SRR7443749	300
SRR7443750	300
SRR7443751	300
SRR7443752	301
SRR7443753	301
SRR7443754	301
SRR7443755	4888
SRR7443757	4888
SRR7443758	302
SRR7443759	302
SRR7443760	302
SRR7443761	303
SRR7443762	303
SRR7443763	303
SRR7443764	304
SRR7443765	304
SRR7443766	304
SRR7443767	305
SRR7443768	305
SRR7443770	305
SRR7443771	305
SRR7443772	305
SRR7443773	306
SRR7443775	306
SRR7443776	307
SRR7443777	307
SRR7443778	307
SRR7443779	308
SRR7443780	308
SRR7443781	308
SRR7443782	4887
SRR7443783	4887
SRR7443784	4887
SRR7443785	4886
SRR7443786	4886
SRR7443787	4886
SRR7443788	310
SRR7443789	310
SRR7443790	310
SRR7443791	309
SRR7443792	309
SRR7443793	309
SRR7443794	311
SRR7443795	311
SRR7443796	311
SRR7443797	312
SRR7443798	312
SRR7443799	312
SRR7443800	313
SRR7443801	313
SRR7443802	313
SRR7444071	317
SRR7444072	317
SRR7444073	317
SRR7444074	314
SRR7444075	314
SRR7444076	314
SRR7444080	318
SRR7444081	318
SRR7444082	318
SRR7444083	315
SRR7444084	315
SRR7444085	315
SRR7444089	319
SRR7444090	319
SRR7444091	319
SRR7444092	316
SRR7444093	316
SRR7444094	316
SRR7444098	4885
SRR7444099	4885
SRR7444100	4885
SRR7444101	4884
SRR7444102	4884
SRR7444103	4884
SRR7444104	4883
SRR7444105	4883
SRR7448503	4882
SRR7448504	4882
SRR7448505	4882
SRR7448506	320
SRR7448507	320
SRR7448508	320
SRR7453058	4876
SRR7453057	4876
SRR7453053	4880
SRR7453048	4881
SRR7453047	4881
SRR7453046	4879
SRR7453045	4881
SRR7453044	4880
SRR7453042	4875
SRR7453030	4879
SRR7453029	4878
SRR7453028	4878
SRR7453027	4878
SRR7453026	4877
SRR7453025	4877
SRR7453024	4877
SRR7453023	4876
SRR7453022	4875
SRR7453021	4874
SRR7453020	4873
SRR7453019	4873
SRR7453018	4874
SRR7453017	4874
SRR7453016	4872
SRR7453015	4872
SRR7453013	4872
SRR7504771	321
SRR7504772	321
SRR7504773	321
SRR7504774	322
SRR7504775	322
SRR7504776	322
SRR7504777	323
SRR7504778	323
SRR7504779	323
SRR7504780	324
SRR7504781	324
SRR7504782	324
SRR7504783	325
SRR7504784	325
SRR7504785	325
SRR7504786	326
SRR7504787	326
SRR7504788	326
SRR7505564	328
SRR7505565	328
SRR7505566	327
SRR7505567	327
SRR1137827	4871
SRR1137828	4870
SRR7634495	330
SRR7634496	332
SRR7634497	330
SRR7634498	332
SRR7634499	330
SRR7634500	332
SRR7634501	330
SRR7634502	332
SRR7634503	329
SRR7634504	331
SRR7634505	329
SRR7634506	331
SRR7634507	329
SRR7634508	331
SRR7634509	329
SRR7634510	331
SRR7634748	334
SRR7634749	336
SRR7634750	334
SRR7634751	336
SRR7634752	334
SRR7634753	336
SRR7634754	334
SRR7634755	336
SRR7634757	335
SRR7634759	335
SRR7634760	333
SRR7634761	335
SRR7634762	333
SRR7634763	335
SRR7634765	340
SRR7634766	338
SRR7634767	340
SRR7634768	338
SRR7634769	340
SRR7634770	338
SRR7634771	340
SRR7634773	339
SRR7634774	337
SRR7634775	337
SRR7634776	339
SRR7634777	337
SRR7642053	341
SRR7642039	342
SRR7642040	344
SRR7642041	342
SRR7642042	344
SRR7642043	342
SRR7642044	344
SRR7642045	342
SRR7642046	344
SRR7642047	341
SRR7642048	343
SRR7642049	341
SRR7642050	343
SRR7642051	341
SRR7642052	343
SRR7642054	343
SRR7642641	346
SRR7642642	348
SRR7642643	346
SRR7642644	348
SRR7642645	346
SRR7642646	348
SRR7642647	346
SRR7642648	348
SRR7642649	345
SRR7642650	347
SRR7642651	345
SRR7642652	347
SRR7642653	345
SRR7642654	347
SRR7642655	345
SRR7642656	347
SRR7642837	350
SRR7642838	352
SRR7642839	350
SRR7642840	350
SRR7642841	352
SRR7642842	350
SRR7642843	352
SRR7642844	349
SRR7642845	351
SRR7642846	349
SRR7642847	351
SRR7642848	349
SRR7642849	351
SRR7642850	349
SRR7642851	351
SRR7642910	354
SRR7642911	356
SRR7642912	354
SRR7642913	356
SRR7642914	354
SRR7642915	356
SRR7642916	353
SRR7642917	355
SRR7642918	353
SRR7642919	355
SRR7642920	353
SRR7642921	355
SRR7651347	358
SRR7651348	360
SRR7651349	358
SRR7651350	360
SRR7651351	358
SRR7651352	360
SRR7651353	358
SRR7651354	360
SRR7651355	357
SRR7651356	359
SRR7651357	357
SRR7651358	359
SRR7651359	357
SRR7651360	359
SRR7651361	357
SRR7651362	359
SRR7689037	4869
SRR7689038	4869
SRR7689039	4869
SRR7689040	4868
SRR7689041	4868
SRR7689042	4868
SRR7689043	4867
SRR7689044	4867
SRR7689045	4867
SRR7689046	4866
SRR7689047	4866
SRR7689048	4866
SRR7689049	4865
SRR7689050	4865
SRR7689051	4865
SRR7689052	4864
SRR7689053	4864
SRR7689054	4864
SRR7689055	4863
SRR7689056	4863
SRR7689057	4863
SRR7689058	4862
SRR7689059	4862
SRR7689060	4862
SRR7689061	4861
SRR7689062	4861
SRR7689063	4861
SRR7749843	362
SRR7749844	362
SRR7749845	361
SRR7749846	361
SRR7759900	363
SRR7759901	363
SRR7759902	363
SRR7759903	4860
SRR7763430	364
SRR7763431	364
SRR7763432	364
SRR7763433	364
SRR7768614	4858
SRR7768615	4858
SRR7768616	4857
SRR7768617	4857
SRR7792246	4856
SRR7792254	4854
SRR7792255	368
SRR7792256	368
SRR7792257	368
SRR7792258	367
SRR7792259	367
SRR7792260	367
SRR7792261	367
SRR7792262	368
SRR7792263	368
SRR7792264	368
SRR7792265	368
SRR7792266	365
SRR7792267	365
SRR7792268	365
SRR7792269	365
SRR7792270	366
SRR7792271	366
SRR7792272	366
SRR7792273	366
SRR7792274	370
SRR7792275	370
SRR7792276	370
SRR7792277	369
SRR7792278	369
SRR7792279	369
SRR7792280	372
SRR7792281	372
SRR7792282	372
SRR7792283	372
SRR7792284	371
SRR7792285	371
SRR7792286	371
SRR7792287	371
SRR7792619	373
SRR7792620	373
SRR7792621	374
SRR7792622	374
SRR7792623	378
SRR7792624	378
SRR7792625	375
SRR7792626	375
SRR7792627	377
SRR7792628	377
SRR7792629	376
SRR7792630	376
SRR7819648	4853
SRR7819647	4852
SRR7819646	4851
SRR7819645	4850
SRR7948425	4849
SRR7948426	4849
SRR7948427	4848
SRR7948428	4848
SRR8149437	4847
SRR8149444	4846
SRR8149447	4845
SRR8149449	4844
SRR8149478	4843
SRR8149483	4842
SRR8149496	4841
SRR8149497	4840
SRR8149498	4839
SRR8149499	4838
SRR8149500	4837
SRR8149501	4836
SRR8149502	4835
SRR8175736	4727
SRR8175737	4726
SRR8262954	379
SRR8262955	379
SRR8262956	379
SRR8262957	381
SRR8262958	381
SRR8262959	381
SRR8262960	382
SRR8262961	382
SRR8262962	382
SRR8262963	380
SRR8262964	380
SRR8262965	380
SRR8272000	383
SRR8272001	383
SRR8272002	385
SRR8272003	385
SRR8272004	384
SRR8272005	384
SRR8274753	392
SRR8274754	392
SRR8274755	392
SRR8274756	399
SRR8274757	399
SRR8274758	399
SRR8274759	398
SRR8274760	398
SRR8274761	398
SRR8274762	395
SRR8274763	395
SRR8274764	395
SRR8274765	394
SRR8274766	394
SRR8274767	394
SRR8274768	393
SRR8274769	393
SRR8274770	393
SRR8274771	401
SRR8274772	401
SRR8274773	401
SRR8274774	400
SRR8274775	400
SRR8274776	397
SRR8274777	397
SRR8274778	397
SRR8274779	396
SRR8274780	396
SRR8274781	396
SRR8297740	4247
SRR8297739	4246
SRR8297738	4245
SRR8297737	4244
SRR8368679	403
SRR8368680	403
SRR8368681	403
SRR8368682	402
SRR8368683	402
SRR8368684	402
SRR8441993	4241
SRR8441992	4241
SRR8441991	4240
SRR8441990	4241
SRR8441989	4240
SRR8441988	4240
SRR8441987	4239
SRR8441986	4239
SRR8441984	4239
SRR8441983	4238
SRR8441982	4238
SRR8441981	4238
SRR8550302	408
SRR8550303	408
SRR8550304	408
SRR8550305	406
SRR8550306	406
SRR8550307	406
SRR8550308	407
SRR8550309	407
SRR8550310	407
SRR8550311	404
SRR8550312	404
SRR8550313	404
SRR8550314	405
SRR8550315	405
SRR8550316	405
SRR8588636	409
SRR8588637	409
SRR8588638	409
SRR8588639	409
SRR8588640	410
SRR8588641	410
SRR8588642	410
SRR8588643	410
SRR8588644	411
SRR8588645	411
SRR8588646	411
SRR8588647	411
SRR1294205	4237
SRR1294206	4237
SRR1294207	4237
SRR1294208	4236
SRR1294209	4236
SRR1294210	4236
SRR1294211	4235
SRR1294212	4235
SRR1294213	4235
SRR8695353	4234
SRR8695352	4233
SRR8696727	4232
SRR8696726	4231
SRR8697252	4230
SRR8697251	4229
SRR8715533	4228
SRR8715534	4228
SRR8715535	412
SRR8715536	412
SRR8816604	1340
SRR8816603	413
SRR8816601	1340
SRR8816600	413
SRR8816599	414
SRR8816598	1340
SRR8816597	413
SRR8816592	1345
SRR8816589	414
SRR8816588	414
SRR8902366	4227
SRR8902367	4227
SRR8902368	4227
SRR8902369	4226
SRR8902370	4226
SRR8902371	4226
SRR8902363	4225
SRR8902364	4225
SRR8902365	4225
SRR8902405	4224
SRR8902406	4224
SRR8902407	4224
SRR8902408	4223
SRR8902409	4223
SRR8902410	4223
SRR8902411	4222
SRR8902412	4222
SRR8902413	4222
SRR1363501	4220
SRR1363502	4220
SRR1363505	4219
SRR9042978	4218
SRR9042979	4218
SRR9042980	4218
SRR9042981	4217
SRR9042982	4217
SRR9042983	4217
SRR9042984	4216
SRR9042985	4216
SRR9042986	4216
SRR9042987	4215
SRR9042988	4215
SRR9042989	4215
SRR9042990	4214
SRR9042991	4214
SRR9115073	4263
SRR9115071	4262
SRR9214135	4261
SRR9214136	4261
SRR9214137	4261
SRR9331748	4214
SRR9973145	4200
SRR9973143	4200
SRR9973142	4200
SRR9994461	439
SRR9994462	439
SRR9994463	439
SRR9994464	439
SRR9994465	438
SRR9994466	438
SRR9994467	438
SRR9994468	438
SRR9994469	441
SRR9994470	441
SRR9994471	441
SRR9994472	441
SRR9994473	440
SRR9994474	440
SRR9994475	440
SRR9994476	440
SRR9994477	442
SRR9994478	442
SRR9994479	442
SRR9994480	442
SRR9994481	443
SRR9994482	443
SRR9994483	443
SRR9994484	443
SRR9994485	444
SRR9994486	444
SRR9994487	444
SRR9994488	444
SRR9994489	445
SRR9994490	445
SRR9994491	445
SRR9994492	445
SRR10022311	4199
SRR10022312	4199
SRR10022313	4199
SRR10022314	4198
SRR10022315	4198
SRR10022316	4198
SRR10076619	415
SRR10076618	415
SRR10076617	415
SRR10076616	416
SRR10076615	416
SRR10076614	416
SRR10115601	390
SRR10115602	390
SRR10115603	391
SRR10115604	391
SRR10115605	388
SRR10115606	388
SRR10115607	389
SRR10115608	389
SRR10115609	386
SRR10115610	386
SRR10115611	387
SRR10115612	387
SRR10123879	418
SRR10123878	418
SRR10123877	418
SRR10123882	417
SRR10123881	417
SRR10123880	417
SRR10125314	4197
SRR10125315	4197
SRR10125316	4196
SRR10125317	4196
SRR10125323	4190
SRR10129360	4188
SRR10129359	4188
SRR10129358	4188
SRR10129603	4187
SRR10129602	4187
SRR10129601	4187
SRR10129719	4186
SRR10129718	4186
SRR10129717	4186
SRR10130139	4185
SRR10130138	4185
SRR10130137	4185
SRR10163944	420
SRR10163945	420
SRR10163946	420
SRR10163947	419
SRR10163948	419
SRR10163949	419
SRR10203898	422
SRR10203897	422
SRR10203896	421
SRR10203895	421
SRR10203884	424
SRR10203883	424
SRR10203882	423
SRR10203881	423
SRR10344329	425
SRR10344328	425
SRR10344327	425
SRR10344326	426
SRR10344325	426
SRR10344324	426
SRR10417462	4184
SRR10417463	4184
SRR10417464	4184
SRR10417465	4183
SRR10417466	4183
SRR10417467	4183
SRR10423283	428
SRR10423284	428
SRR10423285	428
SRR10423286	427
SRR10423287	427
SRR10423288	427
SRR1605909	194
SRR1605910	195
SRR1605911	196
SRR1605912	194
SRR1605913	195
SRR1605914	196
SRR1605915	197
SRR1605916	197
SRR1605917	197
SRR10596679	4182
SRR10596680	4182
SRR10596681	4182
SRR10596682	4181
SRR10596683	4181
SRR10596684	4181
SRR10614054	4180
SRR10614053	4179
SRR10614052	4179
SRR10614051	4179
SRR10614050	4178
SRR10614049	4178
SRR10614048	4178
SRR10614047	4177
SRR10681572	4176
SRR10681571	4176
SRR10681570	4175
SRR10681569	4175
SRR10854758	4174
SRR10854757	4174
SRR10854756	4173
SRR10854755	4173
SRR10854754	4172
SRR10854753	4172
SRR10919098	4171
SRR10919099	4171
SRR10919100	4171
SRR10919101	4170
SRR10919102	4170
SRR10919103	4170
SRR10919104	4170
SRR11195988	4166
SRR11195987	4165
SRR11364814	4162
SRR11364815	4161
SRR11364816	4160
SRR11364817	4159
SRR11364818	4158
SRR11364819	4157
SRR11364820	4156
SRR11364821	4155
SRR11364822	4154
SRR11364823	4153
SRR11364830	4146
SRR11364831	4145
SRR11364832	4144
SRR11364833	4143
SRR11364834	4142
SRR11364835	4141
SRR11364836	4140
SRR11364837	4139
SRR11364846	4130
SRR11364847	4129
SRR11364848	4128
SRR11364849	4127
SRR11364850	4126
SRR11364851	4125
SRR11364852	4124
SRR11364853	4123
SRR11364854	4122
SRR11364855	4121
SRR11364856	4120
SRR11364857	4119
SRR11364858	4118
SRR11364859	4117
SRR11364860	4116
SRR11364861	4115
SRR11364862	4114
SRR11364863	4113
SRR11364864	4112
SRR11364865	4111
SRR11364866	4110
SRR11364867	4109
SRR11364868	4108
SRR11364869	4107
SRR11364870	4106
SRR11364871	4105
SRR11364872	4104
SRR11364873	4103
SRR11364874	4102
SRR11364875	4101
SRR11364876	4100
SRR11364877	4099
SRR1695486	4098
SRR1695487	4098
SRR1695488	4097
SRR1695489	4097
SRR1695490	4096
SRR1695491	4096
SRR1695492	4095
SRR1695493	4095
SRR11413721	4090
SRR11727856	4088
SRR11727857	4088
SRR11727858	4087
SRR11727859	4087
SRR11727860	4086
SRR11950089	4083
SRR11950090	4083
SRR11950091	4082
SRR11950092	4082
SRR11950093	4082
SRR11950094	4081
SRR11950096	4081
SRR11950097	4080
SRR11950098	4080
SRR11950099	4080
SRR11950100	4079
SRR11950101	4079
SRR11950102	4079
SRR11950103	4078
SRR11950104	4078
SRR11950105	4078
SRR11950106	4077
SRR11950107	4077
SRR11950108	4077
SRR11950109	4076
SRR11950110	4076
SRR11950111	4076
SRR12062803	429
SRR12062797	430
SRR12062795	430
SRR12062794	429
SRR12191935	4064
SRR12191934	4064
SRR12191933	4064
SRR12191932	4063
SRR12191931	4063
SRR12191930	4063
SRR12192602	4062
SRR12192603	4062
SRR12192604	4062
SRR12192605	4061
SRR12192606	4061
SRR12192607	4061
SRR12192608	4060
SRR12192609	4060
SRR12192610	4059
SRR12192611	4059
SRR12192612	4059
SRR12192613	4058
SRR12192614	4058
SRR12192615	4058
SRR12192616	4057
SRR12192617	4057
SRR12192618	4057
SRR12209705	4056
SRR12209706	4056
SRR12209707	4056
SRR12209708	4055
